hour,nl_node_1,nl_node_2,nl_node_3
7031,333,0.36965,0.28144
7032,333,0.36965,0.28144
7033,333,0.36283,0.27625
7034,333,0.35603,0.27107
7035,333,0.35603,0.27107
7036,333,0.42086,0.32043
7037,333,0.48681,0.37064
7038,333,0.48681,0.37064
7039,333,0.5068,0.38586
7040,333,0.52675,0.40105
7041,333,0.52675,0.40105
7042,333,0.52692,0.40118
7043,333,0.5271,0.40131
7044,333,0.5271,0.40131
7045,333,0.65286,0.49707
7046,333,0.76522,0.58261
7047,333,0.76522,0.58261
7048,333,0.78631,0.59867
7049,333,0.80627,0.61386
7050,333,0.80627,0.61386
7051,333,0.7817,0.59516
7052,333,0.75549,0.5752
7053,333,0.75549,0.5752
7054,333,0.75228,0.57276
7055,333,0.74904,0.5703
7056,333,0.74904,0.5703
7057,333,0.71894,0.54738
7058,333,0.68738,0.52335
7059,333,0.68738,0.52335
7060,333,0.65725,0.50041
7061,333,0.62623,0.47679
7062,333,0.62623,0.47679
7063,333,0.59506,0.45305
7064,333,0.56333,0.4289
7065,333,0.56333,0.4289
7066,333,0.48265,0.36748
7067,333,0.40186,0.30596
7068,333,0.40186,0.30596
7069,333,0.42521,0.32374
7070,333,0.4487,0.34162
7071,333,0.4487,0.34162
7072,333,0.45772,0.34849
7073,333,0.46676,0.35537
7074,333,0.46676,0.35537
7075,333,0.46266,0.35226
7076,333,0.45857,0.34914
7077,333,0.45857,0.34914
7078,333,0.47545,0.36199
7079,333,0.49234,0.37485
7080,333,0.49234,0.37485
7081,333,0.48651,0.37041
7082,333,0.48068,0.36597
7083,333,0.48068,0.36597
7084,333,0.52149,0.39704
7085,333,0.56198,0.42787
7086,333,0.56198,0.42787
7087,333,0.57182,0.43537
7088,333,0.58162,0.44283
7089,333,0.58162,0.44283
7090,333,0.59645,0.45412
7091,333,0.61116,0.46532
7092,333,0.61116,0.46532
7093,333,0.65739,0.50051
7094,333,0.70165,0.53421
7095,333,0.70165,0.53421
7096,333,0.72667,0.55326
7097,333,0.75071,0.57157
7098,333,0.75071,0.57157
7099,333,0.72941,0.55534
7100,333,0.70732,0.53853
7101,333,0.70732,0.53853
7102,333,0.70546,0.53711
7103,333,0.70359,0.53569
7104,333,0.70359,0.53569
7105,333,0.66664,0.50755
7106,333,0.62822,0.4783
7107,333,0.62822,0.4783
7108,333,0.71574,0.54494
7109,333,0.79301,0.60377
7110,333,0.79301,0.60377
7111,333,0.77668,0.59134
7112,333,0.75969,0.5784
7113,333,0.75969,0.5784
7114,333,0.66705,0.50786
7115,333,0.56442,0.42973
7116,333,0.56442,0.42973
7117,333,0.52649,0.40085
7118,333,0.48824,0.37173
7119,333,0.48824,0.37173
7120,333,0.44738,0.34062
7121,333,0.40675,0.30968
7122,333,0.40675,0.30968
7123,333,0.37059,0.28216
7124,333,0.33509,0.25513
7125,333,0.33509,0.25513
7126,333,0.32021,0.2438
7127,333,0.3055,0.2326
7128,333,0.3055,0.2326
7129,333,0.31208,0.23761
7130,333,0.31869,0.24264
7131,333,0.31869,0.24264
7132,333,0.35414,0.26963
7133,333,0.39035,0.2972
7134,333,0.39035,0.2972
7135,333,0.374,0.28475
7136,333,0.35778,0.2724
7137,333,0.35778,0.2724
7138,333,0.3461,0.26351
7139,333,0.33451,0.25468
7140,333,0.33451,0.25468
7141,333,0.30541,0.23253
7142,333,0.27707,0.21095
7143,333,0.27707,0.21095
7144,333,0.26912,0.2049
7145,333,0.26124,0.1989
7146,333,0.26124,0.1989
7147,333,0.32661,0.24867
7148,333,0.39545,0.30108
7149,333,0.39545,0.30108
7150,333,0.36681,0.27927
7151,333,0.33859,0.25779
7152,333,0.33859,0.25779
7153,333,0.28517,0.21712
7154,333,0.23463,0.17864
7155,333,0.23463,0.17864
7156,333,0.24216,0.18437
7157,333,0.24978,0.19017
7158,333,0.24978,0.19017
7159,333,0.21276,0.16199
7160,333,0.17812,0.13562
7161,333,0.17812,0.13562
7162,333,0.17678,0.13459
7163,333,0.17544,0.13358
7164,333,0.17544,0.13358
7165,333,0.19814,0.15086
7166,333,0.22197,0.169
7167,333,0.22197,0.169
7168,333,0.29644,0.2257
7169,333,0.37683,0.2869
7170,333,0.37683,0.2869
7171,333,0.44369,0.33781
7172,333,0.51127,0.38926
7173,333,0.51127,0.38926
7174,333,0.56526,0.43037
7175,333,0.61811,0.47061
7176,333,0.61811,0.47061
7177,333,0.65132,0.4959
7178,333,0.68356,0.52044
7179,333,0.68356,0.52044
7180,333,0.63401,0.48271
7181,333,0.58242,0.44343
7182,333,0.58242,0.44343
7183,333,0.6003,0.45705
7184,333,0.61799,0.47052
7185,333,0.61799,0.47052
7186,333,0.62787,0.47804
7187,333,0.63768,0.48551
7188,333,0.63768,0.48551
7189,333,0.65173,0.4962
7190,333,0.66559,0.50676
7191,333,0.66559,0.50676
7192,333,0.61044,0.46477
7193,333,0.55324,0.42121
7194,333,0.55324,0.42121
7195,333,0.50995,0.38826
7196,333,0.46639,0.3551
7197,333,0.46639,0.3551
7198,333,0.45956,0.3499
7199,333,0.45274,0.3447
7200,333,0.45274,0.3447
7201,333,0.44722,0.34049
7202,333,0.4417,0.33629
7203,333,0.4417,0.33629
7204,333,0.44214,0.33663
7205,333,0.44258,0.33696
7206,333,0.44258,0.33696
7207,333,0.48859,0.37199
7208,333,0.5345,0.40695
7209,333,0.5345,0.40695
7210,333,0.55421,0.42195
7211,333,0.57378,0.43686
7212,333,0.57378,0.43686
7213,333,0.63951,0.4869
7214,333,0.70182,0.53434
7215,333,0.70182,0.53434
7216,333,0.59675,0.45434
7217,333,0.48486,0.36916
7218,333,0.48486,0.36916
7219,333,0.44624,0.33975
7220,333,0.40783,0.31051
7221,333,0.40783,0.31051
7222,333,0.43216,0.32903
7223,333,0.45661,0.34765
7224,333,0.45661,0.34765
7225,333,0.45127,0.34358
7226,333,0.45127,0.34358
7227,333,0.43456,0.33086
7228,333,0.41791,0.31818
7229,333,0.41791,0.31818
7230,333,0.41168,0.31344
7231,333,0.40545,0.3087
7232,333,0.40545,0.3087
7233,333,0.40239,0.30636
7234,333,0.39932,0.30403
7235,333,0.39932,0.30403
7236,333,0.38236,0.29112
7237,333,0.36553,0.2783
7238,333,0.36553,0.2783
7239,333,0.40172,0.30586
7240,333,0.43838,0.33377
7241,333,0.43838,0.33377
7242,333,0.51785,0.39427
7243,333,0.59621,0.45393
7244,333,0.59621,0.45393
7245,333,0.61856,0.47095
7246,333,0.64057,0.48771
7247,333,0.64057,0.48771
7248,333,0.61611,0.46909
7249,333,0.59124,0.45015
7250,333,0.59124,0.45015
7251,333,0.53895,0.41034
7252,333,0.4859,0.36995
7253,333,0.4859,0.36995
7254,333,0.4593,0.34969
7255,333,0.43275,0.32948
7256,333,0.43275,0.32948
7257,333,0.38578,0.29372
7258,333,0.33975,0.25868
7259,333,0.33975,0.25868
7260,333,0.31051,0.23641
7261,333,0.28199,0.21469
7262,333,0.28199,0.21469
7263,333,0.22459,0.17099
7264,333,0.1723,0.13118
7265,333,0.1723,0.13118
7266,333,0.1751,0.13332
7267,333,0.17792,0.13546
7268,333,0.17792,0.13546
7269,333,0.17008,0.1295
7270,333,0.16241,0.12365
7271,333,0.16241,0.12365
7272,333,0.13368,0.10178
7273,333,0.10786,0.08212
7274,333,0.10786,0.08212
7275,333,0.11068,0.08427
7276,333,0.11354,0.08645
7277,333,0.11354,0.08645
7278,333,0.10605,0.08074
7279,333,0.09886,0.07527
7280,333,0.09886,0.07527
7281,333,0.10733,0.08172
7282,333,0.11621,0.08848
7283,333,0.11621,0.08848
7284,333,0.11363,0.08651
7285,333,0.11108,0.08457
7286,333,0.11108,0.08457
7287,333,0.12884,0.09809
7288,333,0.148,0.11269
7289,333,0.148,0.11269
7290,333,0.15498,0.118
7291,333,0.16211,0.12343
7292,333,0.16211,0.12343
7293,333,0.11666,0.08882
7294,333,0.07951,0.06054
7295,333,0.07951,0.06054
7296,333,0.06051,0.04607
7297,333,0.04593,0.03497
7298,333,0.04593,0.03497
7299,333,0.03946,0.03004
7300,333,0.03478,0.02648
7301,333,0.03478,0.02648
7302,333,0.03526,0.02684
7303,333,0.03576,0.02723
7304,333,0.03576,0.02723
