hour,nl8,nl4,de10,de5,frbelux8,frbelux4,uk6,uk3
309,24401.92,12200.96,143398.88,71699.44,124911.36,62455.68,51357.6,25678.8
310,23328.24,11664.12,142952.54,71476.27,121546.72,60773.36,49267.8,24633.9
311,20254.64,10127.32,123894.22,61947.11,106379.44,53189.72,43826.16,21913.08
312,18938.8,9469.4,112439.41,56219.705,101034.72,50517.36,42651.9,21325.95
313,23020.8,11510.4,145785.61,72892.805,117020.48,58510.24,47914.02,23957.01
314,23644.64,11822.32,151381.67,75690.835,122142.56,61071.28,48086.22,24043.11
315,24044.24,12022.12,149832.31,74916.155,111211.44,55605.72,48604.98,24302.49
316,23766.16,11883.08,149844.45,74922.225,125390.48,62695.24,48193.56,24096.78
317,23529.52,11764.76,149240.94,74620.47,126741.6,63370.8,47531.52,23765.76
318,20754.56,10377.28,129163.64,64581.82,117368.96,58684.48,45680.46,22840.23
319,19766.4,9883.2,119047.06,59523.53,109432.16,54716.08,42206.28,21103.14
320,24239.2,12119.6,148097.06,74048.53,127155.92,63577.96,48178.98,24089.49
321,24322,12161,151936.83,75968.415,128386.4,64193.2,50746.44,25373.22
322,24107.36,12053.68,153466.22,76733.11,125781.84,62890.92,49251.72,24625.86
323,23935.36,11967.68,156489.02,78244.51,127050.32,63525.16,50875.32,25437.66
324,24091.84,12045.92,148741.85,74370.925,129242.64,64621.32,50898,25449
325,21276.88,10638.44,127276.39,63638.195,125391.04,62695.52,47769.42,23884.71
326,19502.32,9751.16,118349.05,59174.525,128820.4,64410.2,49692.06,24846.03
327,24194.8,12097.4,148328.94,74164.47,151563.84,75781.92,55694.28,27847.14
328,25296.8,12648.4,157130.79,78565.395,159014,79507,54542.52,27271.26
329,24817.12,12408.56,155402.13,77701.065,151653.92,75826.96,53877.72,26938.86
330,24589.52,12294.76,152815.97,76407.985,149888.64,74944.32,54158.76,27079.38
331,24588.24,12294.12,150850.97,75425.485,151779.2,75889.6,50649.78,25324.89
332,21460.88,10730.44,132567.05,66283.525,138266.64,69133.32,46812.84,23406.42
333,19790.24,9895.12,125456.24,62728.12,129229.2,64614.6,45617.1,22808.55
